,PTY_PROFILE_SUB_TYPE,SOCIO_ECONOMIC_SEGMENT,PARTY_NATIONALITY,PARTY_GENDER_CD,TARGET,YEAR_JOINED,CURRENT_YEAR,BILL_AMOUNT,PAID_AMOUNT,PAYMENT_TRANSACTIONS,PARTY_REV,PREPAID_LINES,POSTPAID_LINES,OTHER_LINES,LINE_REV,STATUS,MOUS_TO_LOCAL_MOBILES,MOUS_FROM_LOCAL_MOBILES,MOUS_TO_LOCAL_LANDLINES,MOUS_FROM_LOCAL_LANDLINES,MOUS_TO_INT_NUMBER,MOUS_FROM_INT_NUMBER,DATA_IN_BNDL,DATA_OUT_BNDL,DATA_USG_PAYG,COMPLAINTS,Years_stayed
258716,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,551.5718172,858.3333333,2,1886.9,1,2,2,580.5666667,Out Going Bar Confirmed,826.825,310.98,2.915,254.115,11.625,5.425,453.8916016,0,0,0,7
258717,Prestige,EXPATS,Sri Lanka,M,1,2012,2018,879.2817782,930.3766667,2,1152.861667,0,2,0,906.955,ACTIVE,269.005,277.435,65.95,46.725,44.1,2.075,1443.425781,0,0,0,6
258718,Residential,EXPATS,Syrian Arab Republic,M,0,2012,2019,433.1501233,495.515,2,885.2833333,3,2,1,384.4483333,ACTIVE,894.525,259.48,67.485,184.475,1.285,0,2566.800293,0,0,1,7
258719,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,562.9667288,817.585,1,2026.875,1,2,1,789.6633333,ACTIVE,222.58,28.775,15.5,4.42,0.075,0.015,22332.64648,0,0,0,7
258720,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,1002.376684,1079.4,1,3983.528333,6,2,2,1028,ACTIVE,0,0,0,0,0,0,51051.83984,0,0,0,7
258721,Residential,EXPATS,Philippines,F,0,2012,2019,378.3724664,373.1183333,1,374.115,0,1,0,374.115,ACTIVE,15.96,21.745,5.415,3.64,23.28,0.1,737.3193359,0,0,0,7
258722,Residential,EXPATS,United States of America,M,0,2012,2019,280.7148137,299.6366667,1,722.08,1,2,0,293.7016667,ACTIVE,12.625,1.4,11.85,4.335,58.36,0,3004.711426,0,0,0,7
258723,Prestige,YOUTH,Australia,M,1,2012,2018,729.3387351,760.595,1,1965.145,3,2,0,746.7466667,ACTIVE,383.8,62.505,13.635,40.26,27.765,6.71,8002.584961,0,0,0,6
258724,Residential,EXPATS,Ireland,M,0,2012,2019,687.8165886,608.3233333,1,528.3716667,0,1,0,528.3716667,ACTIVE,322.66,225.075,7.04,233.61,483.44,128.8,5169.92334,0,0,1,7
258725,Residential,EXPATS,Egypt,M,0,2012,2019,529.415977,571.4666667,3,2256.546667,2,3,1,498.7266667,ACTIVE,316.165,10.375,9.32,37.35,432.44,32,3685.328125,0,0,0,7
